STARTTIME,ENDTIME,SRCADDRESS,DSTADDRESS,SRCPORT,DSTPORT,BYTEINCOUNT,BYTEOUTCOUNT,DSTLAT,DSTLNG,FLOWS,MAXTTLINPACKETS,PACKETINCOUNT,PACKETOUTCOUNT,SRCLAT,SRCLNG,TCPFLAGS,TRANSPORTPROTOCOL,CLASSIFICATIONLABEL
0:49:48,0:49:48,114.236.88.215,204.101.251.33,45079,6379,52,0,43.64250183,-79.3871994,0,0,1,0,32.06169891,118.7778015,2,6,0
0:49:48,0:49:48,114.236.88.215,204.101.251.57,58996,6379,52,0,43.64250183,-79.3871994,0,0,1,0,32.06169891,118.7778015,2,6,0
0:49:48,0:49:48,114.236.88.215,204.101.251.86,2596,6379,52,0,43.64250183,-79.3871994,0,0,1,0,32.06169891,118.7778015,2,6,0
0:49:48,0:49:48,114.236.88.215,204.101.251.95,42067,6379,52,0,43.64250183,-79.3871994,0,0,1,0,32.06169891,118.7778015,2,6,0
0:47:09,0:47:09,116.6.20.11,206.47.49.155,59698,5555,40,0,43.62720108,-79.62220001,0,0,1,0,23.11669922,113.25,2,6,0
0:01:32,0:01:32,116.6.20.11,206.47.63.211,3627,5555,40,0,43.62720108,-79.62220001,0,0,1,0,23.11669922,113.25,2,6,0
0:30:07,0:30:07,116.6.20.11,67.69.231.232,59698,5555,40,0,43.64979935,-79.38150024,0,0,1,0,23.11669922,113.25,2,6,0
0:05:31,0:05:31,116.6.20.11,67.69.232.96,59698,5555,40,0,43.64979935,-79.38150024,0,0,1,0,23.11669922,113.25,2,6,0
0:18:05,0:18:05,118.116.127.249,204.101.251.1,56277,6379,60,0,43.64250183,-79.3871994,0,0,1,0,30.66670036,104.0667038,2,6,0
0:18:05,0:18:05,118.116.127.249,204.101.251.102,56040,6379,60,0,43.64250183,-79.3871994,0,0,1,0,30.66670036,104.0667038,2,6,0
0:18:05,0:18:05,118.116.127.249,204.101.251.106,54814,6379,60,0,43.64250183,-79.3871994,0,0,1,0,30.66670036,104.0667038,2,6,0
0:18:05,0:18:05,118.116.127.249,204.101.251.111,38089,6379,60,0,43.64250183,-79.3871994,0,0,1,0,30.66670036,104.0667038,2,6,0
0:18:05,0:18:05,118.116.127.249,204.101.251.12,47852,6379,60,0,43.64250183,-79.3871994,0,0,1,0,30.66670036,104.0667038,2,6,0
0:18:05,0:18:05,118.116.127.249,204.101.251.120,58025,6379,60,0,43.64250183,-79.3871994,0,0,1,0,30.66670036,104.0667038,2,6,0
0:18:05,0:18:05,118.116.127.249,204.101.251.199,47712,6379,60,0,43.64250183,-79.3871994,0,0,1,0,30.66670036,104.0667038,2,6,0
0:18:05,0:18:05,118.116.127.249,204.101.251.211,59344,6379,60,0,43.64250183,-79.3871994,0,0,1,0,30.66670036,104.0667038,2,6,0
0:46:28,0:46:28,123.160.94.24,67.69.168.95,44013,1433,40,0,45.41289902,-75.69010162,0,0,1,0,34.68360138,113.5325012,2,6,0
0:23:16,0:23:16,123.160.94.24,67.69.232.122,44013,1433,40,0,43.64979935,-79.38150024,0,0,1,0,34.68360138,113.5325012,2,6,0
0:11:33,0:11:33,123.160.94.24,67.69.252.62,52216,445,52,0,43.64250183,-79.3871994,0,0,1,0,34.68360138,113.5325012,2,6,0
0:03:41,0:03:50,125.19.8.182,67.69.231.137,60860,445,152,0,43.64979935,-79.38150024,0,0,3,0,28.60000038,77.19999695,2,6,0
0:44:15,0:44:15,128.234.70.186,184.150.209.147,53277,1433,40,0,43.64979935,-79.38150024,0,0,1,0,25,45,2,6,0
0:36:58,0:36:58,128.234.70.186,184.150.209.159,53277,1433,40,0,43.64979935,-79.38150024,0,0,1,0,25,45,2,6,0
0:06:58,0:06:58,128.234.70.186,184.150.212.210,53277,1433,40,0,43.64250183,-79.3871994,0,0,1,0,25,45,2,6,0
0:28:35,0:28:35,103.210.39.72,206.47.51.131,28409,23,44,0,43.62720108,-79.62220001,0,0,1,0,0,0,2,6,0
0:39:54,0:39:54,103.210.39.72,67.69.168.27,56153,23,44,0,45.41289902,-75.69010162,0,0,1,0,0,0,2,6,0
0:14:02,0:14:02,103.210.39.72,67.69.230.174,28409,23,44,0,43.64979935,-79.38150024,0,0,1,0,0,0,2,6,0
0:23:00,0:23:00,113.161.129.115,206.47.61.99,50127,1433,44,0,43.62720108,-79.62220001,0,0,1,0,21.0333004,105.8499985,2,6,0
0:50:09,0:50:09,113.161.129.115,209.226.175.204,50127,1433,44,0,43.64250183,-79.3871994,0,0,1,0,21.0333004,105.8499985,2,6,0
0:27:51,0:27:51,113.161.129.115,67.69.172.232,50127,1433,44,0,43.64979935,-79.38150024,0,0,1,0,21.0333004,105.8499985,2,6,0
0:42:01,0:42:01,113.161.129.115,67.69.230.253,50127,1433,44,0,43.64979935,-79.38150024,0,0,1,0,21.0333004,105.8499985,2,6,0
0:49:44,0:49:44,113.161.129.115,67.69.231.66,50127,1433,44,0,43.64979935,-79.38150024,0,0,1,0,21.0333004,105.8499985,2,6,0
0:30:15,0:30:15,113.161.129.115,67.69.240.65,50127,1433,44,0,43.64250183,-79.3871994,0,0,1,0,21.0333004,105.8499985,2,6,0
0:48:22,0:48:22,113.161.129.115,67.69.242.170,50127,1433,44,0,43.64979935,-79.38150024,0,0,1,0,21.0333004,105.8499985,2,6,0
0:22:14,0:22:14,113.161.129.115,67.69.243.126,50127,1433,44,0,43.64979935,-79.38150024,0,0,1,0,21.0333004,105.8499985,2,6,0
0:42:45,0:42:45,113.161.129.115,67.69.243.167,50127,1433,44,0,43.64979935,-79.38150024,0,0,1,0,21.0333004,105.8499985,2,6,0
0:38:35,0:38:35,113.220.231.218,184.150.84.117,26603,2323,40,0,43.64250183,-79.3871994,0,0,1,0,28.17919922,113.1136017,2,6,0
0:35:50,0:35:50,113.220.231.218,184.150.84.201,26603,23,40,0,43.64250183,-79.3871994,0,0,1,0,28.17919922,113.1136017,2,6,0
0:43:57,0:43:57,113.220.231.218,198.235.69.154,26347,23,40,0,43.64979935,-79.38150024,0,0,1,0,28.17919922,113.1136017,2,6,0
0:28:36,0:28:36,113.220.231.218,206.47.0.101,26603,23,40,0,43.64979935,-79.38150024,0,0,1,0,28.17919922,113.1136017,2,6,0
0:52:33,0:52:33,113.220.231.218,206.47.48.111,26347,2323,40,0,43.62720108,-79.62220001,0,0,1,0,28.17919922,113.1136017,2,6,0
0:24:33,0:24:33,113.220.231.218,206.47.48.4,26603,23,40,0,43.62720108,-79.62220001,0,0,1,0,28.17919922,113.1136017,2,6,0
0:26:46,0:26:46,113.220.231.218,206.47.49.170,26603,23,40,0,43.62720108,-79.62220001,0,0,1,0,28.17919922,113.1136017,2,6,0
0:55:45,0:55:45,113.220.231.218,206.47.49.91,26603,23,40,0,43.62720108,-79.62220001,0,0,1,0,28.17919922,113.1136017,2,6,0
0:19:45,0:19:45,113.220.231.218,206.47.50.91,26347,23,40,0,43.62720108,-79.62220001,0,0,1,0,28.17919922,113.1136017,2,6,0
